video,cow_id,score,frames,duration,source_video,sha256,frame_gaps
034,91,2,133,4.4,0522132739_rgb,e074199b80cc8edf60200a98e223d381fcda153a1c8c58964b1dc5d9d24cf8d4,0
035,83,2,108,3.566666666666667,0522133753_rgb,93d3d770e6fab7e4a66c5e5d9119d3f92b87c6a8b60e1b829928620a6a9f6186,0
036,77,1,104,3.4333333333333336,0522134205_rgb,1a2fad318126681c1b1726ad96a5278a140f844ed77586d6d3461ca22a3a6b52,0
037,90,1,124,4.1,0522134517_rgb,95e648c70b5a745cf110e11276eac51c7f3112a87ac894ab3526068ce69b310c,0
038,43,2,115,3.8,0522135046_rgb,3d6ab489906e032b771328c93798ef9ce614b74ddfc6293bb29286eff2928414,0
039,40,1,101,3.3333333333333335,0522140148_rgb,a501bb47f2a0997b852dba8baaa1527c951e9102117c28f311d318d52950452c,0
040,8,1,129,4.266666666666667,0522140306_rgb,d35f9128cc933a973747f87eecff9e08a07bc8b526c4ce720e33d9dd39d17224,0
041,26,2,103,3.3999999999999995,0522140403_rgb,3f62d2a57cd932334151ea44925ac744756f6e0b9b11b83dab172ecf703be8a9,0
042,23,1,103,3.4000000000000004,0522140704_rgb,36894d8d606b950bdf2b2d9a0e56f92d994bf6d2c3bd779ffc892a06b7751ec8,0
043,9,4,168,5.566666666666666,0522143755_rgb,29329c91743f76956dcf7938e4ad4aeb87b7d2f1f4b19c90536f09f3ba01fe75,0
044,15,3,135,4.466666666666667,0522150125_rgb,b61c4e12570d842855d7462b607a2d7d2f59e76ee7f202e1bd546985fac43a88,0
045,49,2,152,5.033333333333333,0522150358_rgb,078748109c3945cd3411e0314f0fc517caaa697ba9586df3541a21a485a4aa8f,0
046,70,2,130,4.3,0522151133_rgb,f0792df8d8e375e142f2134c13306dbf8943cb178e7ce71852bba5e5eab5b0a5,0
047,51,1,136,4.5,0522153808_rgb,378aa5450a3028d9b64485c13bc0cad5d9b4e3ff9e74b76dae9b2443808d8dd3,0
048,67,1,128,4.233333333333333,0527090421_rgb,3021ad4b77326185652943ca1bd659dd86fe9711b2d0b9f664c04e287f9f7c58,0
049,87,1,159,5.266666666666667,0527090645_rgb,ebbb0f802d531da5ba0bf3564be4f634c926b9a33ffda96dd7b1a69b15f6c888,0
050,51,1,102,3.3666666666666667,0527090709_rgb,270cd2bff212c4295566e04bd6fce3f3163b35a4fb4b1fac5e492011d94b07c7,0
051,28,1,119,3.9333333333333336,0527091524_rgb,b407c5f17a4156d88a3f3aeb05365d21595c4c87d141b1fca004d1238a7eb192,0
052,8,1,125,4.133333333333334,0527091755_rgb,1f7abd552293a9d9d371151720228b3d22fd3b0ad828f60150cad24756d05b8b,0
053,78,1,102,3.3666666666666663,0527091951_rgb,cd32d9ebf38280f47d0e7230996879a0cb53d7c5129562ecdfa4e270ba3d932b,0
054,16,2,119,3.9333333333333327,0527092103_rgb,774ea668dd2ac7230086552597ac6d3e31fbb5089ca48030e8569d0c767e2d32,0
055,15,2,117,3.866666666666667,0527092357_rgb,c3e8241385ef010ce997ad42471217c31948fc3d7d88637341412836e31a5250,0
056,47,4,155,5.133333333333334,0527092605_rgb,fbcb0affd7bfeb0f8f02b52e1c68f7d52c1e7aff9a1c0fab5ae0fd58beb90ea8,0
057,69,2,113,3.7333333333333334,0527093526_rgb,cdc2fbc97fd1c0837ed79d5a84e2c222def9fa058ed208d30613794f120ba1ef,0
058,50,1,141,4.666666666666666,0527094123_rgb,5a6332446ad4a34d2bd47b2d8113e75e07d1353f39c08081c1625a0f273f1a98,0
059,97,3,154,5.1000000000000005,0527094312_rgb,e4c50b281ef06646ac07b35064808284f8a1a1f8e5299c6a229f8ae7a34bfa08,0
060,44,1,182,6.033333333333333,0527095011_rgb,4001bcf481be8608ef0a0416794ffcbaae942010e65b3d909de464ab58970c70,0
061,24,2,126,4.166666666666667,0527095845_rgb,796f6cfed0a2e0ac99d8a297f9cff0c55f2e8845cdb82380c618b5740f991c52,0
062,55,1,124,4.1,0527100613_rgb,476d330779d468bb5e94fcc8226aa45931411c65e1a46ce457ac97eef6a7a6bf,0
063,84,3,125,4.133333333333334,0527101326_rgb,a2df659cd42084a36af4e3f671312dacb7b9f19414ae531c799050595b84e99f,0
064,88,1,123,4.066666666666667,0527101759_rgb,43231e096686e27aa8564b5c9a407b061bdd33e41077a7dab41104c53028bd19,0
065,41,2,112,3.6999999999999997,0527103948_rgb,da5a40318cab9f8356fe6058e1ada5139973588887514c09bb52ff4d8de7159c,0
066,90,2,128,4.2333333333333325,0527104013_rgb,536f2556206ace04bb60cd04b9306b5d9dc1c9577bcaff6d53c4d8b6f0644063,0
067,34,2,107,3.533333333333333,0527104250_rgb,d2527b491a794e2f3c7f242e73649bfa15285138646acedf6eff5b910c32b1ca,0
068,22,2,154,5.1,0527104559_rgb,8c1d7287ae994626a7d924b14a6eb3f8f6e6e9a0f52a08a19d996aa58fddce53,0
069,1,1,112,3.6999999999999997,0527105052_rgb,79a743dc2c6f282917564cd9ba4eea99ece114b30688c4a146ab742a0e68cfc6,0
070,75,2,125,4.133333333333333,0527110531_rgb,a5ee047d289f9846169899d0703ccf10ffa5e0a97da3f7cc5243714f80f85c44,0
071,23,2,118,3.9000000000000004,0527111111_rgb,c9fe8ebd31e880c9a132e7186da85a4d1d6b840b12929e50f4912ae3afe05d8c,0
072,70,2,126,4.166666666666666,0527112417_rgb,54eb4002c44143046b774ac8075f4635d8beecc9e37b52fd6a99a977d3aef583,0
073,13,2,130,4.300000000000001,0527112809_rgb,cc490ed5e8e0ff5ec8d80fdd1ef4be8c21bc5e4cfd66ab4773c2e52819413cff,0
074,81,3,110,3.6333333333333333,0527115737_rgb,d88c3ccb73dcde847c59bee19f1295e993abb4beeb9d52a3025fc0f6519aa5f1,0
075,38,2,126,4.166666666666667,0527121114_rgb,9906b424abef82a6c0fa827d44a92ceb4b63a2116d9989907a375171ef47f825,0
076,4,2,118,3.9000000000000004,0527123044_rgb,1cf2b6b04bfaed780a00b3f9ab1e42b3de3fa9d83cf1878efb8fc73bb0eed1ad,0
077,86,2,153,5.066666666666666,0527123258_rgb,6655d3f7ac8c0b4dfb84ee5ed973d7d13a6a368d2603564a45b1d1f6a29569c4,0
078,93,1,118,3.9000000000000004,0527130240_rgb,f06ebb8739180c494f043ee2f22dd001db2cc46f733ef21a9dbcad233afb9bb0,0
079,43,2,162,5.366666666666666,0527131224_rgb,3263afd61d768cc9d0cf0c25625fa687e88318be6b627d25d9bdd3cf3189e9fe,0
080,25,1,133,4.4,0527134031_rgb,8880781d47d5a62d535993d6a7b2ed080088fa2385ec817963df317444a249c8,0
081,40,1,104,3.433333333333333,0527135340_rgb,46fcd9986fdb932271e909babd4fa4e9079d7228fa4bbe4c1b1b85b3eab48108,0
082,15,3,141,4.666666666666667,0527140440_rgb,5424a47915ae1dddb193391ae92259d7dd4fb86de06a160ac52e147477573477,0
083,79,1,122,4.033333333333333,0527144303_rgb,4ef8c680c35809f716855705281c758f9635ba07225af76f020cc1cdb9060b93,0
084,3,3,119,3.9333333333333336,0527150945_rgb,ea4a6b4724ae2648a87b96c254069e5689fa53bfcbae45947adb762fcc87d010,0
085,18,1,116,3.8333333333333335,0527151922_rgb,566d3a308202dacfae50626b8f815a8765eebbab7574c9be701f9911de438bd8,0
086,18,1,133,4.3999999999999995,0527153057_rgb,534b96a7e44a4517bfca7c77eaee7e98a78504506ca6d7d9665c9367ec23ebb9,0
087,51,1,150,4.966666666666667,0527154309_rgb,f8bf630ddd061db31722bc72a617f80b64a16e7cdebba5f4ebde41c6a85aed16,0
088,82,1,140,4.633333333333334,0603090048_rgb,aa1efd1c79aad4f518558df673b75144d20df15c0251c0f5f99507d0f376529e,0
089,20,2,138,4.566666666666667,0603090304_rgb,8aa34f2b0b885a1597d9f45da9772323913fd3c7cb76f6b0110b69e4ffc4066c,0
090,69,1,117,3.8666666666666663,0603090628_rgb,fefd92abb20e6e3f2fce42458be760172bdf0efb690f449fcc2ecb005413fb1b,0
091,96,2,114,3.7666666666666666,0603090702_rgb,14d1bab6abe91537db62a19d5a8a889c662f27f97fea8097ec5a615d056b1a04,0
092,51,1,149,4.933333333333334,0603090734_rgb,61cc6d6518cf54c10a80244f3547173fba5fe3ff2a67282b1471281b9eaa1143,0
093,73,3,115,3.8,0603090805_rgb,b8a8ce6700d6ce8ec5b562753d5e73cacbf1ff16b0d5533bffa34e5968e268ea,0
094,93,2,97,3.2,0603090849_rgb,34afdedb8cebe9878574dea3e8205d49ad7d39457de80a6aca5588c734e1972f,0
095,86,2,113,3.733333333333333,0603091252_rgb,375d2bb12be616b351cff29c49da87aaee82bb77d56cfef8539e5c0836ff75de,0
096,17,1,146,4.833333333333334,0603091534_rgb,b9180f4e29b1751584a8ebfeb746fc0873b905d3963a481337980f872e006adf,0
097,2,2,128,4.233333333333333,0603092422_rgb,17dfedaef44f8872e00edca97530d17c1550f3335669afc11a9bbb09353a2313,0
098,4,2,148,4.9,0603092517_rgb,4613c371de643f75fca6cc62444f33be21ec7a7f302b7912d25414f7e7ba330a,0
099,97,3,154,5.1,0603092606_rgb,f7620e0de3540d0b229bcd8f740fcab7bc6b5399f304587522506dad0bbb728b,0
100,72,2,118,3.8999999999999995,0603094101_rgb,dc6820392eeac20d8c9d350a0c657721f1427edfd5f0e11bac7c182537439445,0
101,36,1,131,4.333333333333333,0603095427_rgb,14388ca05b5c53cc5606ec58356839cc6ade577256cb2ddcfddfd5a25c82194b,0
102,76,2,179,5.933333333333334,0603100617_rgb,a82571d5d9d291f6aebdb316ed8f6bc0639f821918d0089e8c9d452fd08555a3,0
103,6,1,128,4.2333333333333325,0603100749_rgb,a8457dbc327837c18dd95994acf72e50f96eff7f316422d91d45c3378fa353f7,0
104,19,1,108,3.5666666666666664,0603100930_rgb,3fed47766074acfcd1e35606cffe5dc98b466df3047214d7a45936e99e1b37f3,0
105,16,4,133,4.4,0603101825_rgb,9f6a2b284ee41afb6c39253305adb03e2d66e75d886f42e4918a596ce868be17,0
106,48,2,111,3.666666666666667,0603102100_rgb,cc9fd85a60a085b8dfa2a874dddd88027f878bbfe09dec4edc36435c747d07bc,0
107,35,1,106,3.5,0603102942_rgb,23707e3b181761d36b9da5a456bc77d5c96445abd7f09b0da9cfdf808fab0f50,0
108,61,1,120,3.966666666666667,0603104253_rgb,6ce9a39723d8910854c006743b364576aaeefc2d26406519d82191a8b231a57e,0
109,46,4,178,5.9,0603104501_rgb,17f76e53cf262d740794a21483dfce5f44386437d8951ec4db036751874adba8,0
110,22,2,116,3.833333333333333,0603104534_rgb,2844f61d597631e7f2408177908092eeaacad73184e740779963219a5f087337,0
111,77,1,114,3.766666666666666,0603104811_rgb,711dc01b9e2166fe938bfa321d5247db693953e4054b05d9b024c0c9326e5d88,0
112,94,1,136,4.5,0603105751_rgb,ae49802dc78634b2b6a681d1481046c7be8ccf9c290776a602bb67df4bf19d11,0
113,78,1,124,4.1,0603110536_rgb,8a449cbb8d96e627af11b3d2627aa3dc92c7b8dfa9de2c5e4b638ec19678f9cc,0
114,92,2,163,5.4,0603110911_rgb,b815721e0ab4394eb4e3ad39fff6d7ac51f55182dcb462ec385e2f12f6f8a9c0,0
115,41,2,113,3.733333333333333,0603111343_rgb,2171e1273c8319ecaa67430973c535606c3c97a8e20d9742f1a393258382c02c,0
116,85,1,128,4.2333333333333325,0603112047_rgb,df88be1fb9f03090cb06fd305316612dad2a49d14a852bd24e4602b335e0d6a6,0
117,7,1,91,3.0,0603113116_rgb,9e4d9d349bc8d28f877c7ace3a0a16babf71267f5607db944e6f1a316dfb1744,0
118,91,2,140,4.633333333333333,0603113238_rgb,0d5b23ad69c6d929374fb3cbcab90dbd2ca72c7e0fde1d0dd3891380e1f5cfae,0
119,40,1,108,3.5666666666666673,0603113740_rgb,59178fa05a2177bf54a9ea633b11fc815a533fe590c5a6c8f1de0d7228e44d18,0
120,52,1,115,3.8,0603113827_rgb,27804bd25afb840d550f39436be690cfcdb2a5225bedbb43a8d060a375e4e9fa,0
121,74,2,183,6.066666666666666,0603115340_rgb,210a0bc3e239900cec8989f79434113153a4d2099ed290ce4be41df69c4aa73d,0
122,71,1,131,4.333333333333334,0603120318_rgb,fdf975260fe830d3bcf7216be217de6bdb95d4988f42043c16ac096cd972c1dc,0
123,81,4,176,5.833333333333333,0603120837_rgb,a2732318faad47a83ca2929d50117a4e603ee4768e31b9699e1d0630132f6bdb,0
124,37,3,154,5.1,0603120917_rgb,fa32d8ed3bcd140d700d64f0baff8c8976af4c94a4bb3e3907229548607a775b,0
125,42,1,129,4.266666666666667,0603134352_rgb,6f11b79ef12245fc611481af5d130143a386d923e1fee2831d4ffa547df03c95,0
126,82,1,147,4.866666666666667,0603134804_rgb,5c8c06371b068498a76649e80608490abc6d3d58ad5dac3da18613bb0e4a695e,0
127,75,2,152,5.033333333333333,0603152039_rgb,d54446772d692af2cf37fcae5270874aa9b49b5aca336adfed4e3084bb99a8ad,0
128,96,2,130,4.300000000000001,0603153937_rgb,2a48025df256728a92880c2ed87a08ad49d3ef499f5269fa1557095c68e17a1a,0
129,69,2,146,4.833333333333334,0603154408_rgb,be5b769a1e71cfd03cf4b69437ae0a51e10b8d605eb509c28a7585a950ff7705,0
130,88,1,123,4.066666666666666,0603165429_rgb,1c118838ef00019103ccbaa95f6aae4eebfeb6cc41360fb97b0919648723f9d4,0
131,54,2,147,4.866666666666667,0603165617_rgb,e99ec4c478ff4570b1d825fd6a2086e7cfdaaa022c29a416e9e27d2f9db803cf,0
132,38,1,124,4.1,0603165653_rgb,972067b9d1bb64677d7c74af9b32caf27be6665d840c61dabe850a78bd0b18c8,0
133,51,1,143,4.733333333333333,0604090703_rgb,563de66e7767dd2f32540fff08097ac09800ffb9dd597146bf46931d82055942,0
134,69,2,125,4.133333333333333,0604090715_rgb,3c37ebb002346c9a18bb496309c78321bc79457786c3bb101e62112b668f7f60,0
135,64,2,160,5.3,0604091422_rgb,f5cdd9e0b4d5dfe19f8105487dd0d683be6c6b883811c1123378b3e5eef7f513,0
136,39,1,178,5.8999999999999995,0604092321_rgb,e611f0a21f8c7b4ff1849ccb9b8fb697d52f88e5724c077a2fa5554c3f207ed0,0
137,19,1,107,3.5333333333333337,0604092448_rgb,97a604786875929a743f97e575093d9f4a0e838fe63f9a0758fbd967ccfe2532,0
138,75,2,137,4.533333333333333,0604092541_rgb,b7c27ae906287d84bec247a5f6736610228541bd43d84615a25d94990fe42430,0
139,89,1,119,3.9333333333333336,0604094913_rgb,c10a40533fdce3d2d47a1b1e29ce622f50b5a6e619a084c689a5044c4aa199bc,0
140,84,2,137,4.533333333333333,0604101605_rgb,8003982cfb1c0f541c8654e13f61d7af39e00f97b3181cc8e067060b0228f232,0
141,37,4,187,6.199999999999999,0604101831_rgb,17d7f92eb5def0843706f1b0c6b6ce6ecb99f30134b9e4d8d9d16b25b59cfce9,0
142,44,1,148,4.9,0604101938_rgb,08d20ee76a60a9a3e0e5fc20a380de2c8f734dba81ac7bf9bae74a6b41868a99,0
143,28,1,174,5.766666666666666,0604104654_rgb,dba5526c175628378b39600e0730428e3b5dc23af3e6a02a93a329fbd61c23e9,0
144,63,2,134,4.433333333333334,0604110541_rgb,657af9786a6739f3716e459ccfa10c1b929a1fb86a9c0ca5b34b5f9ba22467fd,0
145,36,1,131,4.333333333333333,0604114315_rgb,6ea0dd5af81c931b27ece4810d9320d464edce8eb10bc8d19491d8ae1c5b751e,0
146,78,1,119,3.9333333333333336,0604114623_rgb,fd31ae91570f68fe0b8bc921deac847dfdd4c3b5b4d952d53a66d7bec2b67b57,0
147,72,1,144,4.766666666666667,0604114924_rgb,d0784bef0bd55c99361aacd99622b737a26edf3246e27764b71196b3a7a2019d,0
148,7,1,102,3.3666666666666667,0604115300_rgb,8ddaeb72afeb195d3a15e22fa28902630dbe2f419be7ffa72c0306854e37185a,0
149,40,1,138,4.566666666666666,0604115849_rgb,23562c4c00eebc8a8df1d085c16521bdee0442cda6d618cf9ce426c4671d3996,0
150,29,1,126,4.166666666666666,0604115936_rgb,cba921ab7787dc2a342f3cd62377cf45f6ae560404b314f8dc612cb67ebca63a,0
151,85,2,132,4.366666666666667,0604131702_rgb,5868bf8bb4125bf0ae3594d2dbc53a93d65359158a4f6108905c6ce6d8b21a2f,0
152,58,2,186,6.166666666666666,0604133132_rgb,06d8ea637a3ed376f8250603c05b2582de3bf990b0a9e0b003ac4fe099cc86de,0
153,83,2,109,3.5999999999999996,0604133422_rgb,0815ba9c21356d55312ebb38d7973e787e4452125bb477d859dad413414feae9,0
154,45,1,129,4.2666666666666675,0604133634_rgb,12fbf2d514b9dd3b5e8f66bb92086f8828bb44e63c8ad274a12d6485cca6b214,0
155,68,2,133,4.4,0604134546_rgb,b03288dfc628bbd70a138cbec4f1c9120c62f8180be2a63cdfe2d413e5b68625,0
156,5,1,181,6.0,0604135250_rgb,453df552a44abeee116a6f5db6cabeec6dfd2e0bf2feaaf0fe66b7be6b221fd0,0
157,77,1,107,3.533333333333333,0604135850_rgb,317afe40e1ee5c0461f919235b7b85effc5282cdc4de398e8b0cde811d8fb8e0,0
158,74,2,175,5.800000000000001,0604140252_rgb,1c57993be86083fdde3d2d68761d99a86a88a089f74b5a2dcabaaa104bfc5108,0
159,52,1,152,5.033333333333333,0604141029_rgb,c5856fa0b2aa52023e33c3a35a2c3ceccb7101250c5b56a3189873929b05f4af,0
160,51,1,154,5.1,0604145434_rgb,5367582843fbf3271f46e9834220763a73a1f8ae7b067cfbf3666aa02b58684f,0
161,79,2,160,5.3,0604151146_rgb,1cf5b41220d64539c6f28655388a2d6e2c25cea65fc42587c7f027720c0c9e5b,0
162,23,1,113,3.7333333333333334,0604153152_rgb,330dbd69a3b1b8c453026504c010e7cd69b3765a0e61ec5a6d77d7dd48f5f116,0
163,48,1,127,4.2,0604164541_rgb,84373b426adeb87ec2d8d43c085b618c8d97b8c57fe37d37de7059cf1e152272,0
164,53,1,107,3.533333333333333,0604164833_rgb,05046bb14bc0f9961bf317bb86bd756543f99fe0f3733379414498503ae22bd4,0
165,30,1,104,3.433333333333333,0604165615_rgb,72fd16e7b1e804e32b6425780ed74eca7081b5a51ae1ab7defbb47ee61b38a9b,0
166,19,1,114,3.7666666666666666,0709090105_rgb,704e2f8e20453d439d57e36124592d9b7a314213e1d749afad6e32cd2f2d3d5f,0
167,22,2,121,3.9999999999999996,0709091015_rgb,31574b243551ab3a13e4b9340611f87b8e5dbe413ae4f8f6ee028e713ba93c90,0
168,4,2,134,4.433333333333334,0709091803_rgb,d6fd854b1301f18ae31ec359c97762ea9f7bd91aa53340078a88e4a912923ec6,0
169,39,2,159,5.266666666666667,0709100329_rgb,0c1c79e4a4aa1443cf3c5b166b21bbe4baa6b8899c8c3175c84adb72fe693272,0
170,53,1,127,4.199999999999999,0709100410_rgb,f99fd1a554fc72cbc4333da5674c72e176d7a969fa3be3d0057832321e8a9824,0
171,42,1,117,3.8666666666666663,0709100426_rgb,62f9fd7f54c89d2cb65c8bb94826061ebf68a1baaf6dc28a0463a0bada1ebaa6,0
172,18,1,112,3.6999999999999997,0709100635_rgb,4f97a96f8211301a09be5597041e85ae90e3b88fd8831afed716b5e07afd4d19,0
173,89,1,94,3.1,0709100813_rgb,090f449843fae25be3e6ec57bd9edfd94403f725c029bbca32e946fe1c6ada47,0
174,1,1,101,3.333333333333333,0709101135_rgb,43610262fe101b90cad64ddf9a452097c65f7b9bc9eaf9d89208c4e606870b8d,0
175,74,2,154,5.1000000000000005,0709101312_rgb,1f0fb425bfdd20941aa095ca98b0d1f4db5f133194d93c5b31d0fa000fc05529,0
176,41,1,131,4.333333333333333,0709101738_rgb,5591b812bf60c1c574791e31f6dfc6e716b8d66d734e24fa7fc08ae5a2f926d6,0
177,32,1,151,5.0,0709101825_rgb,d19a84cac2ea3a8a55453d320675ac801a35c3944cdf80198e0d05b841dec217,0
178,76,2,152,5.033333333333333,0709101928_rgb,bea1a60d2302ab48403ad23bd2b3a10dd96bef4201ea48a252e27cf96e9605ae,0
179,37,1,124,4.1,0709102012_rgb,182da2160c07ab3b439a0ebe91748078c65738f038175601692d7e74600c0903,0
180,73,2,108,3.5666666666666664,0709102050_rgb,42bc119055a1f55200eca48c0b371ac0aeebb1fdbad1f46b0702a80d28f41eb9,0
181,6,1,130,4.3,0709102531_rgb,f8899df062fc8506fb8eda701bfae1365678e8bb1bcb79aecc742d11e5e432c9,0
182,79,2,129,4.266666666666667,0709102759_rgb,73d3a8199ad977a81f7376b79585ff291d981a03206b117e9eaff8ccd8f95b80,0
183,80,3,175,5.8,0709103046_rgb,8ffa6c00070aec572e9d67a7b070452342b0ee082d944f2511bc747baafe8210,0
184,68,1,146,4.833333333333334,0709110528_rgb,84b7f9036d1be1456b6c0f57e0dfc375f3c120bd042fdd911ddc7852d6382fc7,0
185,71,1,110,3.6333333333333333,0709111634_rgb,acdb953cd7bfadb6e0e241292665e4320e143179c40717b2b4af99c667112c91,0
186,51,1,135,4.466666666666667,0709113415_rgb,e8060a27e94d68aed234b4136b2226112bf2097324483085e85a7b5bd6fa2135,0
187,17,1,152,5.033333333333333,0709114647_rgb,cbb57f382d4329590d60b748818014fe07c9b40ded461a95d2759ec9d9fe48e8,0
188,85,1,113,3.733333333333333,0709115348_rgb,42a2f507c4ed8393b5a81bc397fef6eaa6982730bce844c5b331f96bf2205aac,0
189,22,2,98,3.233333333333334,0709120319_rgb,292e8a18e3f0f44ce18442f65d443e1ca81a570c8e3fa98c2f57d7faa105e4f2,0
190,44,1,131,4.333333333333333,0709121035_rgb,343ce55b25e6ede74bd18983a676ba28b8e903417d01f46d139c02a13f59ae5b,0
191,87,1,126,4.166666666666667,0709121253_rgb,588a84721b115144df6a04eee8918d92cabd0476da53c76162a0362927e9f4f3,0
192,38,1,115,3.8,0709121940_rgb,5aac15160625f48976aed86812394bbecae29513700ef4a5f7234f1152a69a52,0
193,56,2,117,3.8666666666666667,0709122931_rgb,60a1fbdfaece96e0d699a65445a96c949109dfe9ee4600ce7973af1e589120a6,0
194,5,1,138,4.566666666666666,0709124113_rgb,2ee060f112fa626eb1c597605c7e286202ce01eb5468d0f5e321ae387b2957d2,0
195,94,1,107,3.533333333333333,0709124221_rgb,dbc86a5a2c2203b3e325d24e93170139bf63a3d447bd2ea484d131f2eea32518,0
196,67,1,125,4.133333333333334,0709124610_rgb,39be95312ed979e6ab4931bd90be2b6ed77c1f6506114ae0fa2194446ddad8ca,0
197,35,1,90,2.966666666666667,0709124852_rgb,1e5db3a6a3cecff94840b755c36765183e32e74fb2923a5a61877792ff5ecc63,0
198,93,1,108,3.566666666666667,0709125442_rgb,1a8405c1ef86b9b3d342963a589a6da4c11a30b65a1928c40209cb972e519569,0
199,82,1,126,4.166666666666667,0709130045_rgb,2b0f973aa83affe3256e22a5d23247a42b964419e4ce62dc5008bdcdcd86844d,0
200,21,1,130,4.300000000000001,0709130833_rgb,5c25807eba6bf1e387df4b2763c285155c317152d9fed79a7aa810e1ed02f7b7,0
201,66,2,116,3.833333333333333,0709131204_rgb,34e0b1609e4ac370a94a99486132dc19fe45c2494e614ede5d3cf2a56f9a4402,0
